timestamp,health,osds,active,disk_usage(TiB),scrubbing,mons,runningtime,active_clean,date,time,date_time,rd_bw(KiB/s),wr_bw(KiB/s),rd_ops(op/s),wr_ops(op/s)
20240317-1200,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,1,3,3,672,17-03-2024,12:00:00,17-03-2024 12:00,11,78,9,169
20240317-1800,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,8,3,3,665,17-03-2024,18:00:00,17-03-2024 18:00,37,61,28,90
20240318-0000,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,4,3,3,669,18-03-2024,00:00:00,18-03-2024 00:00,10,6.4,6,350
20240318-0600,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,7,3,3,666,18-03-2024,06:00:00,18-03-2024 06:00,2.3,1,2,121
20240318-1200,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,6,3,3,667,18-03-2024,12:00:00,18-03-2024 12:00,4.6,1.6,5,212
20240318-1800,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,5,3,3,668,18-03-2024,18:00:00,18-03-2024 18:00,30,60,18,177
20240319-0000,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,5,3,3,668,19-03-2024,00:00:00,19-03-2024 00:00,66,4.5,20,244
20240319-0600,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,4,3,3,669,19-03-2024,06:00:00,19-03-2024 06:00,1.7,1.1,3,105
20240319-1200,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,8,3,3,665,19-03-2024,12:00:00,19-03-2024 12:00,11,1.1,100,76
20240319-1800,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 3M)",2 portals active (2 hosts),126,6,3,3,667,19-03-2024,18:00:00,19-03-2024 18:00,77,32,54,216
20240320-0000,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 3M)",2 portals active (2 hosts),126,3,3,3,670,20-03-2024,00:00:00,20-03-2024 00:00,89,6.5,22,348
20240320-0600,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 3M)",2 portals active (2 hosts),126,3,3,3,670,20-03-2024,06:00:00,20-03-2024 06:00,2.3,869,4,65
20240320-1200,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 3M)",2 portals active (2 hosts),126,0,3,3,673,20-03-2024,12:00:00,20-03-2024 12:00,3,1.2,3,57
20240320-1800,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 3M)",2 portals active (2 hosts),126,2,3,3,671,20-03-2024,18:00:00,20-03-2024 18:00,21,78,18,109
20240321-0000,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 3M)",2 portals active (2 hosts),126,3,3,3,670,21-03-2024,00:00:00,21-03-2024 00:00,70,63,18,339
20240321-0600,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 3M)",2 portals active (2 hosts),126,3,3,3,670,21-03-2024,06:00:00,21-03-2024 06:00,2.5,802,4,51
20240321-1200,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 3M)",2 portals active (2 hosts),126,6,3,3,667,21-03-2024,12:00:00,21-03-2024 12:00,1.7,3.6,3,52
20240321-1800,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),126,6,3,3,667,21-03-2024,18:00:00,21-03-2024 18:00,21,8.9,18,121
20240322-0000,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),126,2,3,3,671,22-03-2024,00:00:00,22-03-2024 00:00,201,9.6,21,397
20240322-0600,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,3,3,3,670,22-03-2024,06:00:00,22-03-2024 06:00,1.7,73,2,109
20240322-1200,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,3,3,4,670,22-03-2024,12:00:00,22-03-2024 12:00,2.5,824,3,55
20240322-1800,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,5,3,4,668,22-03-2024,18:00:00,22-03-2024 18:00,22,33,18,76
20240323-0000,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,4,3,4,669,23-03-2024,00:00:00,23-03-2024 00:00,17,12,14,333
20240323-0600,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,4,3,4,669,23-03-2024,06:00:00,23-03-2024 06:00,9.1,617,3,33
20240323-1200,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,6,3,4,667,23-03-2024,12:00:00,23-03-2024 12:00,11,835,15,49
20240323-1800,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,5,3,4,668,23-03-2024,18:00:00,23-03-2024 18:00,25,3.3,30,33
20240324-0000,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,7,3,4,666,24-03-2024,00:00:00,24-03-2024 00:00,306,9.5,300,452
20240324-0600,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,2,3,4,671,24-03-2024,06:00:00,24-03-2024 06:00,172,4.9,195,75
20240324-1200,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,4,3,4,669,24-03-2024,12:00:00,24-03-2024 12:00,49,472,58,42
20240324-1800,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,6,3,4,667,24-03-2024,18:00:00,24-03-2024 18:00,253,11,277,78
20240325-0000,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,5,3,4,668,25-03-2024,00:00:00,25-03-2024 00:00,316,42,324,373
